id,title,description,link,image_link,price,availability,condition,shipping_weight
849430768,Green Abalone Blanks,,https://www.poseidonshell.com/online-store#!/Green-Abalone-Blanks/p/849430768,https://d2j6dbq0eux0bg.cloudfront.net/images/42429290/products/849430768/5897428357.jpg,72.5 USD,in stock,new,0.0625 lb
849418836,Pink Abalone Blanks,"Beautiful natural Pink abalone shell blanks with strong color and clean finish. Perfect for inlays, jewelry, and craft projects. Hand‑prepared for consistent quality.
All of our products are considered #1 grade clean, and perfectly flat on both sides, and may have less than 5% imperfection, hole, or brown skin. All of our blanks are trimmed clean.",https://www.poseidonshell.com/online-store#!/Pink-Abalone-Blanks/p/849418836,https://d2j6dbq0eux0bg.cloudfront.net/images/42429290/products/849418836/5897392627.jpg,68.5 USD,in stock,new,0.0625 lb
